, URL, Name, isSecure, Sport,
,cambridgeyouthhockey.com,Cambridge Youth Hockey,false,Hockey,
,canbylacrosse.com,Canby Lacrosse,false,Lacrosse,
,cantonyouthathletics.com,error opening web page,
,capecodlax.com,Cape Cod Lacrosse,false,Lacrosse,
,carmelramsyouthsports.org,error opening web page,
,catoctinbasketball.org,error opening web page,
,ccdswim.com,CC of Darien,false,,
,cclalax.org,Chester County Lacrosse Association,false,,
,ccllbaseball.org,error opening web page,
,ccyouthlacrosse.com,error opening web page,
,cdgs301.com,error opening web page,
,cdmgirlslacrosse.com,error opening web page,
,cecillacrosse.com,error opening web page,
,centralctyankees.com,error opening web page,
,centraldistrictgirlssoftball.com,error opening web page,
,centralnassauaa.com,Central Nassau Athletic Association,false,Basketball,
,centralvalleylaxclub.com,Central Valley LAX Club (aka Stockton Spartans),false,Lacrosse,
,centralwashingtonsocceracademy.com,error opening web page,
,cglax.com,error opening web page,
,championsexperience.com,error opening web page,
,chanhassenathleticassociation.com,error opening web page,
,chaparrallacrosse.org,Chaparral Lacrosse Inc,false,Lacrosse,
,chaskabasketball.org,error opening web page,
,chaskafootball.com,error opening web page,
,chaskayouthbasketball.com,error opening web page,
,chatfieldfootball.com,Chatfield High School Football,false,Football,
,chatfieldsoftball.org,Chatfield Chargers Softball,false,,
,chathamfootball.com,error opening web page,
,cheltenhamlittleleague.com,error opening web page,
,chestersummerbasketball.org,Chester Summer Basketball,false,,
,cheyennelacrosse.com,error opening web page,
,chicohockey.com,North Valley Hockey and Sports Complex,false,,
,chshl.net,Catholic High School Hockey League,false,,
,cincinnatihillssaysoccer.org,Cincinnati Hills SAY Soccer,false,Soccer,
,clarkstownstars.org,STARS Baseball Academy,false,,
,clintonsoccer.net,Clinton Youth Soccer,false,Soccer,
,cmxsoftball.com,error opening web page,
,cobrakailacrosse.com,Cobra Kai Lacrosse,false,,
,cockeysvillebaseball.com,Cockeysville Baseball,false,Baseball,
,cockeysvillereccouncil.org,Cockeysville Rec Council,false,Softball,
,cohassetlax.net,Cohasset Lacrosse,false,Lacrosse,
,collegeparklacrosse.com,College Park Lacrosse,false,Lacrosse,
,collegeparklacrosse.org,College Park Lacrosse,false,Lacrosse,
,collierlax.com,Collier County Lacrosse Association,false,,
,connecticutbasketballconference.org,Connecticut Basketball Conference,false,Basketball,
,connecticutjuniorrangers.com,Connecticut Junior Rangers Elite AAA Youth Hockey,false,,
,connecticutriverhawks.org,error opening web page,
,conshybulldogs.net,Conshy Bulldogs,false,Lacrosse,
,copiagueyouthleague.org,Copiague Youth Leagues, Inc.,false,,
,coralspringslacrosse.com,Coral Springs Chiefs Youth Lacrosse,false,Lacrosse,
,cornerstonewarriors.com,Cornerstone Christian Academy,false,,
,courtsidesportscenter.com,Courtside Sports Center,false,,
,coventrybasketball.com,Coventry Basketball Association,false,,
,coventrylax.com,Coventry Youth Lacrosse Association,false,,
,cowboysbasketball.net,error opening web page,
,coyotesyouthlacrosse.org,Fishhawk Coyotes Lacrosse,false,Lacrosse,
,coyslsoccer.org,Central Ohio Youth Soccer League,false,Soccer,
,crcbaseball.com,Cockeysville Baseball,false,Baseball,
,crcbasketball.com,Cockeysville Basketball,false,Basketball,
,crccheer.com,Cockeysville Rec Council Cheerleading,false,,
,crcgirlslax.com,Cockeysville Girls Lacrosse,false,Lacrosse,
,ctbbc.org,Connecticut Basketball Conference,false,Basketball,
,ctcondors.com,CT Condors,false,,
,ctdistrict7littleleague.org,Connecticut District 7 LL Baseball,false,,
,ctelitehockey.com,Connecticut Elite Hockey,false,Hockey,
,ctgirlsbasketballleague.org,CT Girls Basketball League,false,Basketball,
,ctoutlawshockey.com,error opening web page,
,ctrangersbaseball.com,CT Rangers Baseball,false,,
,ctrushsoccer.org,error opening web page,
,ctselectshockey.com,central ct yankees,false,,
,ctsoccerhalloffame.org,Connecticut Soccer Hall Of Fame,false,,
,ctyankees.org,Connecticut Yankees,false,,
,culpeperlax.com,Culpeper Lacrosse Association,false,,
,culvercitylacrosse.com,Culver City Lacrosse,false,,
,cusabolax.com,Cusabo Nation Lacrosse, Inc.,false,Lacrosse,
,cvaajreagles.com,Clayton Valley Athletic Association,false,Football,
,cvbolts.org,Charlottesville Bolts Lacrosse Foundation,false,Lacrosse,
,cwelitelax.com,CW Elite Lacrosse,false,Lacrosse,
,cycgaa.com,error opening web page,
,cyha.com,Charlestown Youth Hockey Association,false,Hockey,
,cyobxman.net,CYO of Bronx/Manhattan,false,Basketball,
,d16bigfield.com,District 16 Middle School and Juniors,false,,
,darienlacrosse.com,Darien High School Boys Lacrosse,false,Lacrosse,
,darienyhoops.org,Darien YMCA,false,Basketball,
,davishoops.com,Nor Cal Wildcats,false,,
,delcogaels.com,Delco Gaels GAC,false,,
,delvaljrlax.com,Del Val Junior Lacrosse,false,Lacrosse,
,denvercharterleague.org,Hope Online Learning Academy,false,,
,derrygirlslacrosse.com,Derry Girls Lacrosse Club,false,Lacrosse,
,desertridgerattlers.com,Desert Ridge Lacrosse,false,,
,detroitlacrosseclub.com,Detroit Girls Lacrosse Club,false,,
,developmentmi.com,error opening web page,
,dgsasoftball.com,Dunlap Girls Softball Association,false,,
,district9westmichiganll.com,West Michigan District 9,false,,
,dmvblast.com,Bringing Learning And Sports Together,false,Basketball,
,donegaltribesoftball.org,Donegal Tribe Softball,false,,
,donohueskills.com,Donohue Hockey Skills,false,Hockey,
,dracutlacrosse.com,Dracut Youth Lacrosse,false,,
,drexelhillraiders.com,Drexel Hill Raiders,false,Basketball,
,dublinunited.org,Dublin United Soccer Club,false,Soccer,
,dullessouthlacrosse.com,Dulles South Lacrosse,false,Lacrosse,
,dunkirkwarriors.org,error opening web page,
,dunlapjfl.com,Dunlap JFL,false,Football,
,dutchsoccermanagement.com,Dutch Soccer Management,false,,
,duxburyyouthbaseball.com,Duxbury Youth Baseball,false,Baseball,
,duxburyyouthlacrosse.com,error opening web page,
,duxburyyouthsoftball.org,Duxbury Youth Softball,false,Softball,
,duxplex.net,DuxPlex,false,,
,dysasoccer.com,Dartmouth Youth Soccer Association,false,Soccer,
,eaglelax.us,EKLC,false,,
,eagleslax.org,Edmonds Youth Sports Lacrosse,false,Lacrosse,
,eastcoastsocceracademy.org,East Coast Soccer Academy,false,Soccer,
,ecneexpos.com,ECNE Expos,false,,
,ecneexpos.org,ECNE Expos,false,,
,edmondseagles.com,Edmonds Youth Sports Lacrosse,false,Lacrosse,
,eghoops.com,East Greenwich Basketball Association,false,,
